,No-show
65574,0
67011,0
97423,0
72299,0
50269,0
105598,0
76081,0
51222,0
37692,0
106472,0
59388,0
55458,0
99633,0
24029,1
81250,1
55901,1
105951,0
87850,0
92798,0
103278,0
47576,0
53859,1
3154,0
62228,0
33043,0
26859,0
11726,0
39213,1
102407,0
46063,0
40195,0
19745,0
56594,0
90787,0
843,0
78398,0
25316,0
58848,0
69750,0
43128,0
44028,0
49848,0
24804,0
58909,1
103377,0
16228,0
110495,0
48370,0
13211,0
59038,0
37037,0
12955,0
78179,0
38837,0
23643,0
104816,0
56441,0
107594,0
82292,0
88868,0
77764,0
50883,0
87148,0
41232,0
87916,0
100234,0
109936,0
90093,1
67331,0
90069,0
1516,0
41758,0
62745,0
8080,0
77375,1
39379,0
72673,0
16525,1
107364,0
102504,0
38825,0
28115,0
36528,0
23895,0
27542,1
87028,0
82965,0
70599,0
54181,0
30649,0
43066,0
11399,0
38939,0
76595,1
103202,0
109812,0
56531,0
9416,0
52935,0
61703,0
43679,0
74226,0
33694,0
92646,0
66216,0
29009,0
82614,0
83474,0
51238,0
13279,0
53536,0
88986,0
62284,0
91335,0
72066,1
87536,0
46467,0
28948,1
99570,0
29287,0
67566,0
104745,1
43382,0
41661,0
76357,0
75927,1
17496,0
100076,0
70588,0
4461,0
73692,0
19213,1
47219,0
109295,0
44614,0
2819,1
108254,0
38945,0
53451,0
83826,0
34495,1
58423,0
28203,0
47033,0
57838,0
33625,0
92927,0
40781,0
62702,0
110436,1
8004,0
80131,1
3256,0
57829,0
84780,0
84891,0
109139,0
26253,1
84870,0
106065,1
76502,0
97337,0
69560,0
33373,0
86262,0
66491,0
48427,0
57091,0
81846,0
91570,0
35072,0
35249,0
68617,0
67521,0
46495,0
18177,0
46572,0
76496,0
37609,0
81765,0
95257,0
97866,1
53223,1
61599,0
108813,0
20235,1
38456,0
105533,0
22522,0
5868,0
40375,1
65433,1
72480,0
41043,1
3234,0
66437,0
102391,0
15530,0
88219,1
60757,1
42284,0
27560,0
39998,0
106490,1
68184,0
33730,0
90364,0
102280,0
44161,0
58516,0
96228,0
3357,0
106245,0
36761,0
98427,0
10594,1
72084,0
102119,0
45656,1
11553,0
105585,0
80038,0
98819,0
63921,0
90794,0
104535,1
29212,0
56965,1
105131,0
109020,0
11680,0
15777,0
10327,0
15072,0
65453,0
92148,0
92375,0
16073,0
85410,0
22818,1
56636,1
72116,0
51818,0
31862,0
81484,0
81197,0
81377,0
39711,0
108387,0
75283,0
43079,0
82303,1
96160,1
5113,1
46847,0
2286,1
29147,1
7963,0
87485,0
15606,0
83592,0
48353,0
79063,0
109869,1
62361,0
3681,0
21541,0
49054,0
11108,0
88689,1
95153,0
18263,0
35139,1
28080,0
60623,0
66103,0
87442,0
87454,0
13055,0
47302,0
56444,0
16349,0
8061,0
109307,0
61456,0
90620,0
67291,0
50078,0
23656,0
58116,0
94399,0
73055,1
19975,0
6406,0
93142,0
3329,0
83893,0
63754,0
23319,0
93528,1
105063,0
54775,0
2773,0
85045,0
14832,0
22122,0
14012,1
41241,1
8539,0
70148,0
42505,0
54405,0
27030,0
49611,0
34786,0
79808,0
93444,0
19653,0
69017,1
95581,0
26603,0
87835,0
87591,0
41974,0
1041,0
105685,0
5878,0
89295,0
13242,0
37146,1
22563,0
74220,1
37127,0
78361,0
80795,1
93573,0
40691,0
94445,0
39605,0
67944,0
1395,1
60429,0
31892,0
72296,0
89602,1
102134,0
73092,0
55222,0
39276,1
104655,1
9859,0
78855,1
81319,0
62264,0
69014,0
31987,0
17575,0
30180,0
50096,0
48632,1
10520,0
89525,0
27420,0
13954,1
67787,1
107548,0
81305,0
28021,1
63892,0
80742,0
84755,0
84637,0
71846,1
53227,0
34311,0
1635,0
76261,1
81639,1
4796,0
20278,1
102619,0
97464,0
87281,0
75489,0
83186,0
34078,0
80975,0
68806,1
105846,0
72313,0
6896,0
28219,1
77418,1
14877,1
107174,0
61161,1
61912,0
46552,0
82401,0
46507,0
82885,0
69241,0
8859,0
51308,0
47378,1
54005,0
22327,0
106839,0
74888,0
40152,0
99034,1
38261,0
20055,0
52813,0
80057,1
6015,0
43001,0
63083,1
96666,0
79453,0
104278,0
61591,0
105608,0
87946,0
41075,1
12746,1
80845,0
61086,1
98298,0
50670,0
78350,0
18082,0
49621,0
36391,0
24082,0
14245,0
29101,0
81885,0
59649,0
6480,1
73488,1
100281,0
11701,0
52960,1
4794,0
88155,0
89085,0
71286,1
2007,1
56776,0
31392,0
101813,0
6811,0
79966,1
50824,0
30412,0
99993,1
46074,1
6823,0
50051,0
57661,0
65962,1
103277,0
77044,0
21660,0
77788,0
6744,0
5874,0
752,0
3683,0
15491,0
17439,0
9660,0
78818,0
7400,0
56138,1
52775,0
5758,0
72541,0
98987,1
104256,0
78866,0
68371,0
28607,1
84958,0
102792,0
5744,0
96453,1
27844,1
88833,0
59728,0
13474,0
56823,1
33505,0
86254,0
70028,0
60394,0
25637,0
16422,1
48345,0
68362,0
44993,1
1540,0
78967,0
40495,1
48839,0
54985,0
20600,0
96391,0
12301,0
81900,0
82591,0
21229,0
108129,0
100545,1
13677,0
26466,0
86800,0
82469,0
40250,0
105449,0
83975,0
92751,1
97177,0
31445,0
61835,0
53820,0
78175,0
96368,0
93775,1
5496,0
50610,0
59900,0
62365,1
69714,0
108774,0
71546,0
27845,1
40585,0
94244,0
61668,1
53086,0
13583,0
68325,0
59427,0
41580,0
66114,1
110260,0
60315,1
26115,1
83063,1
67002,0
46946,0
3258,0
56244,0
104034,0
35739,1
38857,0
48357,1
48647,0
14562,0
55898,0
90661,0
21528,0
57791,0
10678,0
81506,0
8584,0
27996,0
81241,1
108064,0
106094,0
65179,1
89370,0
93834,0
94563,0
50942,0
67671,0
21490,0
4112,0
79254,0
78444,0
58155,0
48858,0
47242,1
88906,0
95104,0
6844,0
71308,1
1329,0
109005,0
42709,1
29749,0
92150,0
68,0
94033,0
45306,0
42817,0
107252,0
89156,1
43583,0
102436,1
32205,0
16982,0
94212,0
32831,0
57674,0
16277,1
81067,0
97588,0
38208,0
95363,0
105363,0
18737,0
63980,0
96518,0
81637,1
44602,0
80400,0
100997,0
86840,0
4498,0
73892,0
64679,1
59995,0
2065,0
20891,1
18247,1
67958,1
50141,0
110007,0
58152,0
22786,0
77559,0
21375,0
91783,0
7707,0
98644,1
5396,0
3399,0
78666,0
75829,0
79472,0
65357,1
79361,0
82166,0
26267,0
6123,1
31877,0
73431,0
60671,1
91160,0
49588,0
44031,0
61960,0
36517,0
73569,0
99344,1
7836,0
23715,0
61706,0
27794,0
85649,1
66408,0
81244,1
110259,0
22190,0
66594,0
49151,1
19102,1
27875,0
42238,1
76663,0
43346,0
51631,0
51094,0
99027,0
23640,0
19964,0
24886,0
105977,0
16245,0
22332,0
43078,0
20535,0
47736,0
2415,1
86607,0
46815,0
99534,0
10382,0
80987,0
61666,0
26889,0
81453,0
60579,0
65946,0
34145,1
59139,0
73368,1
2893,0
61625,0
14653,0
106059,0
88600,1
25413,1
22111,0
43936,0
29631,0
43772,0
109680,0
104345,0
80881,0
56380,0
107008,0
2908,0
26128,0
51161,0
25008,0
103104,0
55427,1
3356,0
81952,0
89915,0
103902,1
23562,0
7542,0
50619,0
18682,0
76140,0
1801,0
108139,0
49292,0
100245,1
15908,0
107954,0
44394,0
62219,0
47272,0
28890,0
68432,0
20752,0
22524,0
66072,1
81578,1
25375,0
13493,0
106948,0
64033,0
26136,0
109464,0
22923,1
19192,0
92739,0
106257,0
59655,0
72609,0
108008,0
88271,0
41191,0
36628,0
87548,0
10993,0
58637,0
15515,0
24202,0
33728,0
49119,0
88412,0
49536,0
13239,0
58844,0
58683,0
58421,0
25662,1
54974,0
72355,1
58355,0
46511,0
58515,1
33945,0
35505,1
1799,0
94345,0
38446,0
94630,0
7451,1
36600,0
78245,0
63194,0
110457,0
21801,0
61991,1
64101,0
53500,1
37871,0
20333,0
14977,0
63455,0
63859,1
60264,1
77904,0
7656,0
99405,0
60240,1
61380,0
98498,0
105291,1
79430,0
103607,0
12790,0
13832,0
71260,0
105882,0
28713,0
16377,0
49880,0
103725,0
29888,1
100870,0
94395,0
19495,0
91203,0
105696,0
108674,1
88264,0
9624,0
97584,1
54975,1
37178,0
863,0
94011,0
40227,0
13318,0
45289,0
9975,0
19639,0
30256,0
96832,0
64771,0
35724,1
54114,0
19986,0
60415,0
35814,0
57523,1
36758,0
79398,0
13769,0
106417,0
103011,0
29021,0
43557,1
10385,0
77935,0
25038,0
11810,0
68954,0
54852,0
104584,0
78697,0
53772,0
89338,0
43957,0
59229,1
49094,0
69356,1
90461,0
92310,0
88616,0
65069,0
48666,0
92272,0
18008,1
6022,0
63502,0
34126,0
93543,0
100393,0
91315,0
85154,0
94003,0
6558,0
102254,1
96437,0
4962,0
40280,1
17555,0
10745,0
31296,0
31064,0
89473,0
78636,0
81915,0
20998,0
54021,0
15809,0
102889,0
100397,1
76143,1
45269,0
16393,0
23786,0
62667,0
33464,0
86152,0
88433,1
48177,0
48914,1
105491,1
58617,0
19555,0
6486,1
57184,1
97166,1
86577,0
1536,0
64500,0
105322,0
35784,0
34320,0
24525,1
30169,0
20845,0
16743,1
47404,1
43547,0
89681,0
91564,0
53348,0
17597,0
48039,0
12164,0
34044,1
105835,0
94527,0
8563,0
15598,0
58353,0
8105,0
31423,0
84648,0
69852,1
32971,0
97909,1
4130,0
24503,0
18548,0
89303,0
28592,0
75106,0
52372,0
88471,0
83167,0
12805,0
46966,0
78896,0
61571,0
72420,0
36945,0
71246,0
43260,1
52617,1
76572,0
60452,0
1223,0
18940,0
85962,0
20900,1
30177,0
45618,0
42206,0
30131,0
41193,1
12069,0
60432,1
38789,1
30895,0
64709,0
106084,0
416,1
7276,0
90638,0
10892,1
89065,0
22214,0
66305,0
31344,0
30394,0
69396,1
68676,0
78365,0
97677,0
5900,0
53979,0
34280,1
54611,0
15086,0
52321,0
69924,0
2392,0
76494,0
49695,0
68162,0
72957,0
76975,0
44443,0
85925,0
66324,0
107165,1
50611,0
21193,1
17246,0
101394,0
1247,0
107871,0
22723,0
95778,1
23270,1
100006,1
15888,0
79177,0
54628,0
62122,0
47527,0
47714,1
40991,0
91804,0
107387,0
88912,0
95086,1
109299,0
31886,0
59145,0
38146,0
19351,0
57112,1
40461,0
98691,0
11792,0
2659,0
27026,1
86417,0
23364,0
49832,0
43441,1
81794,0
84429,1
32866,1
45143,0
23607,0
50713,0
44849,0
219,1
35916,1
88899,1
30453,0
102263,1
14750,0
85381,0
19852,0
93467,0
80558,1
560,0
1882,0
106430,0
20515,0
58596,0
51542,1
26393,1
81502,1
86955,0
98354,0
28689,0
98810,0
29079,0
2839,0
25497,0
106535,0
51505,1
97309,0
2814,0
93529,0
19453,1
8987,0
100693,0
95430,0
16319,0
59474,0
21131,0
62250,0
59825,0
82869,0
5899,0
39857,0
86588,0
96387,0
94938,1
91734,0
8654,1
51447,0
96858,0
25939,0
57008,1
61633,0
22105,1
36170,0
39220,0
41354,0
31263,0
83668,0
39564,1
22910,0
75047,0
12035,0
66512,0
67860,0
94029,0
80679,0
46624,1
8956,0
109369,0
71689,0
56212,0
30826,0
53169,1
110137,1
18895,1
23894,0
70487,0
29627,0
92263,0
57345,0
75628,0
25496,0
64430,0
29491,0
38388,1
99601,0
91591,0
27169,0
19877,0
41359,0
2629,0
93737,1
45788,0
52599,1
77380,0
103268,1
70908,0
27072,0
100191,0
33316,0
92599,0
104895,0
34430,0
103073,0
71113,1
59262,0
52272,0
16873,0
19825,0
66039,0
49796,0
4623,1
31250,1
93903,0
23870,0
64979,0
61692,0
95956,0
110447,0
8617,0
67133,0
38096,0
8793,0
74277,0
14444,0
7009,0
36696,0
63997,0
37730,0
98305,0
108181,0
50275,0
44054,0
87303,0
64452,0
107915,0
51245,0
82426,1
49937,0
80669,0
41249,0
107104,0
79307,0
31048,0
29957,0
56601,0
13655,0
77938,0
98681,0
26599,1
89282,0
65638,1
64175,0
104525,0
92824,0
26853,1
21844,0
96152,0
28813,1
71288,0
2652,0
68169,0
8400,0
81493,0
84772,0
80656,0
20136,0
41239,0
76375,0
78289,0
35117,0
95071,0
29043,0
6377,0
6459,1
27583,0
6660,0
58434,0
61762,1
85936,0
25682,0
34746,0
57670,0
38579,1
46338,0
16404,0
60740,0
48335,0
828,0
9397,1
101919,1
54291,0
6433,0
58210,0
84334,0
26515,0
56595,0
94106,0
30343,1
45451,0
30250,0
43357,1
63580,0
23414,0
77398,1
110094,0
90255,0
78160,0
65365,0
87172,0
102152,0
6125,0
83239,1
47340,0
12993,0
95851,0
18516,1
30715,0
62802,0
77004,0
76783,0
46619,0
40841,0
31907,1
27522,0
105677,0
47536,1
85303,0
24428,0
40610,0
2009,0
72648,0
100897,1
36870,0
8252,0
33448,0
73856,0
48904,1
107804,0
40360,0
89022,0
31122,0
76698,0
4380,0
7282,1
65581,1
17829,1
53248,1
20186,0
101335,0
58290,1
28511,0
63406,0
13198,0
57398,1
27647,0
100573,0
99929,0
14696,1
93658,0
47727,0
79377,0
107168,1
35519,0
27876,0
107575,0
23923,0
66473,0
62868,1
95393,0
10255,0
4653,0
29464,0
14333,0
65890,0
79967,0
47191,1
23293,0
92725,1
42466,0
41166,0
52129,0
90040,0
59532,0
67147,0
46669,0
36169,0
74808,0
59128,0
89858,0
85673,0
23387,0
29237,0
86366,1
4834,0
85511,1
30385,0
99422,0
29393,0
65233,0
49400,0
2980,0
12436,1
77865,0
27475,0
